event_name,start_date,end_date,num_days
International Mother Language Day,2024-02-21,2024-02-21,1
Independence Day,2024-03-26,2024-03-26,1
Bengali New Year,2024-04-14,2024-04-14,1
May Day,2024-05-01,2024-05-01,1
Eid ul-Fitr,2024-04-09,2024-04-11,3
Buddha Purnima,2024-05-25,2024-05-25,1
Eid ul-Adha,2024-06-16,2024-06-18,3
Ashura,2024-07-16,2024-07-16,1
Durga Puja (Vijaya Dashami),2024-10-11,2024-10-11,1
Victory Day,2024-12-16,2024-12-16,1
Christmas Day,2024-12-25,2024-12-25,1
